Name,Team,Team Rank,Top 100 Rank,Position,Risk,OFP,Hit,Power,Field,Arm,Run,Avoid K,Draw BB,CMD,FB,CT,CB,SL,CH,SLV,SPL,FK,KN,SCR
Drake Baldwin,ATL,,,C,,50,55,50,50,40,40,55,60,,,,,,,,,,,
AJ Smith-Shawver,ATL,,,RHP,,50,,,,,,,,40,60,,50,60,50,,,,,
Cam Caminiti,ATL,,,LHP,,50,,,,,,,,50,55,,45,45,55,,,,,
Nacho Alvarez,ATL,,,3B/SS,,50,60,45,50,55,45,60,65,,,,,,,,,,,
Owen Murphy,ATL,,,RHP,,50,,,,,,,,50,50,,55,50,45,,,,,
Hurston Waldrep,ATL,,,RHP,,50,,,,,,,,45,50,,45,55,,,60,,,
Drue Hackenberrg,ATL,,,RHP,,50,,,,,,,,50,55,50,55,,40,,,,,
JR Ritchie,ATL,,,RHP,,45,,,,,,,,55,55,,,55,50,,,,,
Cade Kuehler,ATL,,,RHP,,45,,,,,,,,40,60,,55,60,30,,,,,
Garrett Baumann,ATL,,,RHP,,45,,,,,,,,50,55,,,55,45,,,,,
Jhancarlos Lara,ATL,,,RHP,,45,,,,,,,,45,60,,,60,40,,,,,
 Didier Fuentes,ATL,,,RHP,,45,,,,,,,,50,55,,,55,45,,,,,
Jose Perdomo,ATL,,,SS,,45,50,55,50,55,55,45,55,,,,,,,,,,,
Blake Burkhalter,ATL,,,RHP,,45,,,,,,,,55,55,60,,,55,,,,,
Luis Guanipa,ATL,,,OF,,40,45,50,50,50,60,50,40,,,,,,,,,,,
David McCabe,ATL,,,3B,,40,45,55,45,50,40,40,60,,,,,,,,,,,
Geraldo Quintero,ATL,,,2B/SS,,40,55,30,45,45,55,50,55,,,,,,,,,,,
Hayden Harris,ATL,,,LHP,,40,,,,,,,,45,55,,,50,,,,,,
Lucas Braun,ATL,,,RHP,,45,,,,,,,,50,50,,45,55,45,,,,,
Carter Holton,ATL,,,LHP,,45,,,,,,,,45,55,,50,55,50,,,,,
Diego Benitez,ATL,,,3B,,40,45,40,50,55,45,45,50,,,,,,,,,,,
Luke Sinnard,ATL,,,RHP,,40,,,,,,,,45,45,,55,50,45,,,,,
Douglas Glod ,ATL,,,OF,,35,45,40,45,50,45,35,60,,,,,,,,,,,
Nick Montgomery,ATL,,,C,,40,45,55,45,55,40,40,40,,,,,,,,,,,
Adam Maier,ATL,,,RHP,,40,,,,,,,,55,40,,,55,40,,,,,
Luis Vargas,ATL,,,RHP,,40,,,,,,,,40,55,,,55,,,,,,
John Gil,ATL,,,SS/3B,,45,50,40,50,50,70,55,55,,,,,,,,,,,
Herick Hernandez,ATL,,,LHP,,45,,,,,,,,50,55,,,60,45,,,,,
Rolddy Munoz,ATL,,,RHP,,40,,,,,,,,40,60,,,60,,,,,,
Elison Joseph,ATL,,,RHP,,40,,,,,,,,30,60,,,60,,,,,,
Davis Polo,ATL,,,RHP,,40,,,,,,,,55,45,,,55,50,,,,,
Ethan Bagwell,ATL,,,RHP,,40,,,,,,,,45,55,,,50,40,,,,,
Luis Arestigueta,ATL,,,RHP,,40,,,,,,,,45,50,,,45,50,,,,,
Junior Garcia,ATL,,,OF,,40,,,,,,40,30,,,,,,,,,,,
Rayven Antonio,ATL,,,RHP,,40,,,,,,,,50,50,,,40,45,,,,,
Enrique Bradfield,BAL,,,OF,,50,55,30,70,50,80,60,50,,,,,,,,,,,
Jud Fabian,BAL,,,OF,,45,30,55,55,50,55,20,55,,,,,,,,,,,
Luis de Leon,BAL,,,LHP,,45,,,,,,,,45,55,,,60,45,,,,,
Patrick Reilly,BAL,,,RHP,,40,,,,,,,,40,60,50,55,50,40,,,,,
Trace Bright,BAL,,,RHP,,45,,,,,,,,45,50,,60,45,45,,,,,
Michael Forret,BAL,,,RHP,,45,,,,,,,,45,60,,,55,50,,,,,
Keagan Gillies,BAL,,,RHP,,40,,,,,,,,45,55,55,,,,,55,,,
Brandon Young,BAL,,,RHP,,45,,,,,,,,55,45,50,50,,45,,,,,
Carter Baumler,BAL,,,RHP,,40,,,,,,,,45,55,,60,55,45,,,,,
Edwin Amparo,BAL,,,2B,,35,45,40,50,50,55,50,30,,,,,,,,,,,
Samuel Basallo,BAL,,,C/1B,,60,55,70,40,60,40,50,55,,,,,,,,,,,
Emilio Sanchez,BAL,,,SS,,45,50,40,50,55,60,45,40,,,,,,,,,,,
Chayce McDermott,BAL,,,RHP,,45,,,,,,,,40,55,,50,50,30,,,,,
Elvin Garcia,BAL,,,SS,,45,50,50,50,55,55,55,70,,,,,,,,,,,
Braylin Tavera,BAL,,,OF,,40,45,40,55,50,60,40,40,,,,,,,,,,,
Creed Willems,BAL,,,C/1B,,45,50,60,40,55,30,40,60,,,,,,,,,,,
Griff O'Ferrall,BAL,,,SS,,45,55,30,55,45,50,65,30,,,,,,,,,,,
Coby Mayo,BAL,,,3B,,55,40,70,45,60,50,30,45,,,,,,,,,,,
Alex Pham,BAL,,,RHP,,45,,,,,,,,45,50,55,50,50,45,,,,,
Aron Estrada,BAL,,,INF/OF,,45,55,45,50,50,55,60,35,,,,,,,,,,,
Ethan Anderson,BAL,,,C/1B,,45,50,50,45,50,40,60,60,,,,,,,,,,,
Austin Overn,BAL,,,OF,,40,45,40,60,50,70,40,45,,,,,,,,,,,
Dylan Beavers,BAL,,,OF,,45,45,55,50,55,55,40,50,,,,,,,,,,,
Miguel Rodriguez,BAL,,,C,,45,55,40,55,60,40,45,45,,,,,,,,,,,
Elis Cuevas,BAL,,,OF,,40,50,40,55,50,55,35,50,,,,,,,,,,,
Vance Honeycutt,BAL,,,OF,,50,40,60,60,55,70,30,50,,,,,,,,,,,
Keeler Morfe,BAL,,,RHP,,45,,,,,,,,40,60,,,50,55,,,,,
Nestor German,BAL,,,RHP,,45,,,,,,,,,50,,55,50,,,45,,,
Stiven Martinez,BAL,,,OF,,40,45,55,45,50,50,40,55,,,,,,,,,,,
Trey Gibson,BAL,,,RHP,,40,,,,,,,,45,55,45,50,55,40,,,,,
Cameron Weston,BAL,,,RHP,,45,,,,,,,,50,55,,,55,50,,50,,,
Thomas Sosa,BAL,,,OF,,40,40,50,45,60,50,,,,,,,,,,,,,
Joshua Liranzo,BAL,,,3B/2B,,40,45,50,50,60,40,,,,,,,,,,,,,
