"Name","Team","Level","PLIVEplus","PLIVEplus_year","PLIVEplus_noreg","Reliability","Age","PA","BB.","K.","AVG","OBP","SLG","OPS","ISO","wRC.","HR","SB"
"Luis Pena","MIL","A",178.98,176.25,220.11,0.35,18,115,0.076,0.126,0.283,0.343,0.466,0.809,0.183,126,21,52
"Samuel Basallo","BAL","AAA",176.29,177.14,183.86,0.8,20,1310,0.097,0.197,0.289,0.356,0.519,0.875,0.23,142.8,29,5
"Roman Anthony","BOS","AAA",174.17,177.92,185.25,0.82,21,1322,0.146,0.214,0.276,0.382,0.476,0.858,0.2,142.2,21,11
"Rainiel Rodriguez","STL","CPX",168.3,170.14,288.66,0.23,18,62,0.11,0.238,0.258,0.35,0.488,0.838,0.23,133.6,31,5
"Nick Kurtz","OAK","MLB",165.68,158.11,187.47,0.54,22,255,0.102,0.276,0.262,0.339,0.498,0.837,0.236,131.5,31,3
"Victor Figueroa","SD","A",165.26,164.69,312.69,0.24,21,67,0.08,0.219,0.273,0.333,0.499,0.832,0.226,129.9,30,5
"Emmanuel Rodriguez","MIN","AAA",163.29,112.09,179.89,0.74,22,1165,0.178,0.315,0.225,0.367,0.425,0.792,0.2,125.9,22,17
"Lazaro Montes","SEA","A+",160.96,127.86,173.99,0.8,20,1033,0.122,0.258,0.256,0.348,0.471,0.819,0.215,129.3,27,2
"Leo De Vries","SD","A+",159.33,144.01,178.78,0.68,18,518,0.104,0.214,0.255,0.337,0.463,0.8,0.208,123.2,24,12
"Arjun Nimmala","TOR","A+",159.17,156.82,176.54,0.71,19,610,0.083,0.252,0.253,0.321,0.486,0.807,0.233,122.7,29,5
"Jett Williams","NYM","AAA",158.14,148.43,171.24,0.74,21,870,0.132,0.216,0.247,0.357,0.411,0.768,0.164,119,16,28
"Coby Mayo","BAL","MLB",157.78,116.51,162.67,0.82,23,1917,0.102,0.262,0.251,0.333,0.473,0.806,0.222,124.3,27,4
"Matt Shaw","CHC","MLB",157.71,145.75,159.11,0.78,23,892,0.1,0.178,0.261,0.343,0.438,0.781,0.177,120.1,20,20
"Luke Adams","MIL","AA",157.58,144.39,161.71,0.79,21,1074,0.144,0.222,0.225,0.377,0.389,0.766,0.164,121.4,17,23
"Thayron Liranzo","DET","AA",157.38,126.8,162.85,0.78,21,1138,0.14,0.278,0.241,0.347,0.463,0.81,0.222,126.2,27,1
"Colt Emerson","SEA","A+",157.1,144.82,164.81,0.72,19,631,0.113,0.178,0.271,0.363,0.437,0.8,0.166,126.5,17,13
"Franklin Arias","BOS","A+",156.4,141.65,175.11,0.7,19,550,0.08,0.164,0.285,0.345,0.453,0.798,0.168,123.9,18,14
"Agustin Ramirez","MIA","MLB",155.5,155.06,154.49,0.82,23,1539,0.089,0.204,0.255,0.323,0.464,0.787,0.209,118.4,26,13
"Bryce Eldridge","SF","AAA",154.98,140.97,169.58,0.75,20,756,0.096,0.256,0.263,0.334,0.47,0.804,0.207,124,27,1
"Luke Keaschall","MIN","MLB",154.89,147.26,164.1,0.73,22,688,0.114,0.189,0.259,0.363,0.407,0.77,0.148,120.2,15,22
"Xavier Isaac","TB","AA",154.73,137.79,169.49,0.77,21,965,0.12,0.281,0.244,0.339,0.449,0.788,0.205,121.1,25,6
"Moises Ballesteros","CHC","MLB",154.35,155.4,154.82,0.81,21,1429,0.092,0.154,0.282,0.348,0.462,0.81,0.18,127,21,2
"Walker Jenkins","MIN","AA",153.88,115.64,168.8,0.65,20,491,0.101,0.156,0.27,0.345,0.438,0.783,0.168,120.5,16,15
"Kevin McGonigle","DET","A+",153.79,122.89,167.89,0.63,20,456,0.111,0.12,0.274,0.353,0.425,0.778,0.151,120.4,14,20
"Andrew Salas","MIA","A",153.28,153.32,170.15,0.42,17,154,0.137,0.2,0.256,0.361,0.389,0.75,0.133,115.4,13,32
"Zyhir Hope","LAD","A+",152.92,137.6,164.95,0.67,20,496,0.1,0.259,0.255,0.335,0.451,0.786,0.196,119.6,25,9
"Dalton Rushing","LAD","MLB",152.06,130.16,152.83,0.81,24,1167,0.12,0.252,0.243,0.351,0.439,0.79,0.196,122.8,24,1
"Robert Calaz","COL","A",151.7,101.08,185.36,0.6,19,361,0.085,0.276,0.248,0.316,0.455,0.771,0.207,113.9,26,10
"Carson Williams","TB","AAA",151.67,98.94,160.28,0.81,22,1760,0.098,0.319,0.235,0.317,0.443,0.76,0.208,111.5,24,23
"Aroon Escobar","PHI","A",151.58,142.91,166.41,0.56,20,284,0.098,0.196,0.265,0.349,0.442,0.791,0.177,122.9,22,4
"Sebastian Walcott","TEX","AA",151.56,142.61,172.16,0.77,19,870,0.091,0.234,0.255,0.324,0.442,0.766,0.187,114.2,20,21
"Josue De Paula","LAD","A+",151.3,153.68,156.52,0.79,20,1007,0.134,0.201,0.255,0.358,0.405,0.763,0.15,117.8,16,20
"Dauri Fernandez","CLE","CPX",150.78,150.34,249.41,0.23,18,62,0.098,0.16,0.266,0.343,0.428,0.771,0.162,117.6,16,15
"Max Clark","DET","A+",150.23,156.12,158.82,0.75,20,772,0.12,0.196,0.263,0.351,0.421,0.772,0.158,118.8,17,13
"Drake Baldwin","ATL","MLB",149.88,178.1,147.24,0.81,24,1238,0.104,0.195,0.268,0.348,0.445,0.793,0.177,123.1,21,1
"Michael Arroyo","SEA","A+",149.87,117.87,159.11,0.8,20,1060,0.104,0.24,0.242,0.349,0.421,0.77,0.179,118.3,20,8
"Orelvis Martinez","TOR","MLB",148.89,102.96,146.71,0.79,23,1962,0.082,0.26,0.234,0.305,0.462,0.767,0.228,111.7,30,2
"Josue Briceno","DET","A+",148.67,151.29,159.89,0.68,20,556,0.095,0.198,0.262,0.332,0.451,0.783,0.189,118.9,23,2
"Jordan Lawlar","ARI","MLB",148.5,129.87,159.08,0.74,22,1280,0.094,0.239,0.253,0.332,0.421,0.753,0.168,111.9,18,28
"C.J. Kayfus","CLE","AAA",148.31,140.03,165.18,0.74,23,727,0.106,0.249,0.255,0.345,0.432,0.777,0.177,119.4,18,3
"Cole Young","SEA","AAA",148.28,135.07,148.46,0.84,21,1450,0.112,0.152,0.261,0.353,0.411,0.764,0.15,117.5,13,14
"A.J. Ewing","NYM","A+",148.26,164.56,175.57,0.7,20,577,0.117,0.24,0.252,0.339,0.408,0.747,0.156,111.6,16,33
"Jac Caglianone","KC","AAA",148.26,160.17,152.81,0.59,22,324,0.074,0.229,0.261,0.321,0.461,0.782,0.2,117,26,2
"Eduardo Tait","PHI","A",147.89,129.71,164.29,0.67,18,489,0.042,0.213,0.272,0.309,0.475,0.784,0.203,115.9,27,2
"Eduardo Quintero","LAD","A",147.68,146.41,169.67,0.69,19,525,0.11,0.243,0.246,0.333,0.41,0.743,0.164,109.8,18,35
"Alejandro Osuna","TEX","AAA",147.45,134.4,151.58,0.78,22,1600,0.09,0.217,0.262,0.336,0.424,0.76,0.162,114,17,20
"Ryan Clifford","NYM","AA",147.04,116.43,153.97,0.82,21,1313,0.132,0.291,0.234,0.343,0.428,0.771,0.194,117.7,24,1
"Everson Pereira","NYY","MLB",146.85,129.12,153.48,0.73,24,1421,0.084,0.308,0.244,0.314,0.441,0.755,0.197,109.9,26,13
"Termarr Johnson","PIT","AA",146.68,154.21,144.32,0.81,21,1254,0.144,0.216,0.243,0.355,0.4,0.755,0.157,115.7,18,13
"Nelson Rada","LAA","AA",146.45,140.58,159.16,0.82,19,1218,0.123,0.2,0.267,0.363,0.378,0.741,0.111,113.6,9,42
"Owen Caissie","CHC","AAA",146.28,108.38,156.14,0.82,22,1899,0.116,0.292,0.25,0.339,0.427,0.766,0.177,116,20,6
"Jesus Made","MIL","A",146.25,145.32,178.81,0.44,18,168,0.104,0.208,0.255,0.336,0.413,0.749,0.158,111.8,17,24
"Jace Jung","DET","MLB",145.83,133.74,141.63,0.82,24,1405,0.135,0.254,0.235,0.341,0.417,0.758,0.182,114.3,21,2
"Jaison Chourio","CLE","A+",145.17,125.86,157.28,0.74,20,758,0.153,0.197,0.249,0.362,0.38,0.742,0.131,113.8,12,27
"Marcelo Mayer","BOS","MLB",145.03,136.93,148.05,0.77,22,1417,0.092,0.224,0.255,0.324,0.435,0.759,0.18,112.1,20,8
"Hao-Yu Lee","DET","AAA",144.96,126.71,147.14,0.77,22,1283,0.088,0.194,0.264,0.335,0.42,0.755,0.156,113,16,14
"Devin Fitz-Gerald","TEX","CPX",144.83,140.93,179.82,0.23,19,62,0.096,0.18,0.251,0.334,0.421,0.755,0.17,112.7,20,9
"Hector Rodriguez","CIN","AA",144.76,158.82,145.51,0.82,21,1414,0.048,0.16,0.275,0.308,0.452,0.76,0.177,110.6,19,11
