Rank,Prospects ,Team,Position,Rk Name,Team Pos,Long format,,,,
1,Roki Sasaki,LAD,RHP,1. Roki Sasaki,"LAD, RHP","1. Roki Sasaki, RHP (LAD)",1,1. Roki Sasaki,,1. Roki Sasaki
2,Roman Anthony,BOS,OF,2. Roman Anthony,"BOS, OF","2. Roman Anthony, OF (BOS)",1,"LAD, RHP",,"LAD, RHP"
3,Kristian Campbell,BOS,INF/OF,3. Kristian Campbell,"BOS, INF/OF","3. Kristian Campbell, INF/OF (BOS)",2,2. Roman Anthony,,2. Roman Anthony
4,Jackson Jobe,DET,RHP,4. Jackson Jobe,"DET, RHP","4. Jackson Jobe, RHP (DET)",2,"BOS, OF",,"BOS, OF"
5,Dylan Crews,WSH,OF,5. Dylan Crews,"WSH, OF","5. Dylan Crews, OF (WSH)",3,3. Kristian Campbell,,3. Kristian Campbell
6,Carson Williams,TB,SS,6. Carson Williams,"TB, SS","6. Carson Williams, SS (TB)",3,"BOS, INF/OF",,"BOS, INF/OF"
7,Sebastian Walcott,TEX,SS,7. Sebastian Walcott,"TEX, SS","7. Sebastian Walcott, SS (TEX)",4,4. Jackson Jobe,,4. Jackson Jobe
8,Travis Bazzana,CLE,2B,8. Travis Bazzana,"CLE, 2B","8. Travis Bazzana, 2B (CLE)",4,"DET, RHP",,"DET, RHP"
9,Samuel Basallo,BAL,C,9. Samuel Basallo,"BAL, C","9. Samuel Basallo, C (BAL)",5,5. Dylan Crews,,5. Dylan Crews
10,Jesus Made,MIL,SS,10. Jesus Made,"MIL, SS","10. Jesus Made, SS (MIL)",5,"WSH, OF",,"WSH, OF"
11,Leodalis De Vries,SD,SS,11. Leodalis De Vries,"SD, SS","11. Leodalis De Vries, SS (SD)",6,6. Carson Williams,,6. Carson Williams
12,Andrew Painter,PHI,RHP,12. Andrew Painter,"PHI, RHP","12. Andrew Painter, RHP (PHI)",6,"TB, SS",,"TB, SS"
13,Matt Shaw,CHC,INF,13. Matt Shaw,"CHC, INF","13. Matt Shaw, INF (CHC)",7,7. Sebastian Walcott,,7. Sebastian Walcott
14,Bubba Chandler,PIT,RHP,14. Bubba Chandler,"PIT, RHP","14. Bubba Chandler, RHP (PIT)",7,"TEX, SS",,"TEX, SS"
15,Noah Schultz,CWS,LHP,15. Noah Schultz,"CWS, LHP","15. Noah Schultz, LHP (CWS)",8,8. Travis Bazzana,,8. Travis Bazzana
16,Colt Emerson,SEA,SS,16. Colt Emerson,"SEA, SS","16. Colt Emerson, SS (SEA)",8,"CLE, 2B",,"CLE, 2B"
17,Emmanuel Rodriguez,MIN,OF,17. Emmanuel Rodriguez,"MIN, OF","17. Emmanuel Rodriguez, OF (MIN)",9,9. Samuel Basallo,,9. Samuel Basallo
18,Dalton Rushing,LAD,C/OF,18. Dalton Rushing,"LAD, C/OF","18. Dalton Rushing, C/OF (LAD)",9,"BAL, C",,"BAL, C"
19,Max Clark,DET,OF,19. Max Clark,"DET, OF","19. Max Clark, OF (DET)",10,10. Jesus Made,,10. Jesus Made
20,Chase Dollander,COL,RHP,20. Chase Dollander,"COL, RHP","20. Chase Dollander, RHP (COL)",10,"MIL, SS",,"MIL, SS"
21,Kumar Rocker,TEX,RHP,21. Kumar Rocker,"TEX, RHP","21. Kumar Rocker, RHP (TEX)",11,11. Leodalis De Vries,,11. Leodalis De Vries
22,JJ Wetherholt,STL,SS,22. JJ Wetherholt,"STL, SS","22. JJ Wetherholt, SS (STL)",11,"SD, SS",,"SD, SS"
23,Kevin McGonigle,DET,SS/2B,23. Kevin McGonigle,"DET, SS/2B","23. Kevin McGonigle, SS/2B (DET)",12,12. Andrew Painter,,12. Andrew Painter
24,Nick Kurtz,OAK,1B,24. Nick Kurtz,"OAK, 1B","24. Nick Kurtz, 1B (OAK)",12,"PHI, RHP",,"PHI, RHP"
25,Coby Mayo,BAL,3B,25. Coby Mayo,"BAL, 3B","25. Coby Mayo, 3B (BAL)",13,13. Matt Shaw,,13. Matt Shaw
26,Walker Jenkins,MIN,OF,26. Walker Jenkins,"MIN, OF","26. Walker Jenkins, OF (MIN)",13,"CHC, INF",,"CHC, INF"
27,Bryce Eldridge,SF,1B,27. Bryce Eldridge,"SF, 1B","27. Bryce Eldridge, 1B (SF)",14,14. Bubba Chandler,,14. Bubba Chandler
28,Kyle Teel,CWS,C,28. Kyle Teel,"CWS, C","28. Kyle Teel, C (CWS)",14,"PIT, RHP",,"PIT, RHP"
29,Cam Smith,HOU,3B,29. Cam Smith,"HOU, 3B","29. Cam Smith, 3B (HOU)",15,15. Noah Schultz,,15. Noah Schultz
30,Brandon Sproat,NYM,RHP,30. Brandon Sproat,"NYM, RHP","30. Brandon Sproat, RHP (NYM)",15,"CWS, LHP",,"CWS, LHP"
31,Aidan Miller,PHI,SS,31. Aidan Miller,"PHI, SS","31. Aidan Miller, SS (PHI)",16,16. Colt Emerson,,16. Colt Emerson
32,Chase Burns,CIN,RHP,32. Chase Burns,"CIN, RHP","32. Chase Burns, RHP (CIN)",16,"SEA, SS",,"SEA, SS"
33,Quinn Mathews,STL,LHP,33. Quinn Mathews,"STL, LHP","33. Quinn Mathews, LHP (STL)",17,17. Emmanuel Rodriguez,,17. Emmanuel Rodriguez
34,Marcelo Mayer,BOS,SS,34. Marcelo Mayer,"BOS, SS","34. Marcelo Mayer, SS (BOS)",17,"MIN, OF",,"MIN, OF"
35,Zyhir Hope,LAD,OF,35. Zyhir Hope,"LAD, OF","35. Zyhir Hope, OF (LAD)",18,18. Dalton Rushing,,18. Dalton Rushing
36,Hagen Smith,CWS,LHP,36. Hagen Smith,"CWS, LHP","36. Hagen Smith, LHP (CWS)",18,"LAD, C/OF",,"LAD, C/OF"
